[cs-embed] 23:08:57 시작 (모드: 전체)
[cs-embed] 23:08:57 대상 레코드: 3318건
[cs-embed] 23:09:23   128/3318 처리 완료
[cs-embed] 23:09:50   256/3318 처리 완료
[cs-embed] 23:10:05   384/3318 처리 완료
[cs-embed] 23:10:35   512/3318 처리 완료
[cs-embed] 23:11:03   640/3318 처리 완료
[cs-embed] 23:11:37   768/3318 처리 완료
[cs-embed] 23:11:56   896/3318 처리 완료
[cs-embed] 23:12:24   1024/3318 처리 완료
[cs-embed] 23:12:50   1152/3318 처리 완료
[cs-embed] 23:13:00   1280/3318 처리 완료
[cs-embed] 23:13:19   1408/3318 처리 완료
[cs-embed] 23:13:49   1536/3318 처리 완료
[cs-embed] 23:14:18   1664/3318 처리 완료
[cs-embed] 23:14:27   1792/3318 처리 완료
[cs-embed] 23:14:55   1920/3318 처리 완료
[cs-embed] 23:15:12   2048/3318 처리 완료
[cs-embed] 23:15:34   2176/3318 처리 완료
[cs-embed] 23:16:36   2304/3318 처리 완료
[cs-embed] 23:16:59   2432/3318 처리 완료
[cs-embed] 23:17:21   2560/3318 처리 완료
[cs-embed] 23:17:37   2688/3318 처리 완료
[cs-embed] 23:18:13   2816/3318 처리 완료
[cs-embed] 23:18:38   2944/3318 처리 완료
[cs-embed] 23:19:03   3072/3318 처리 완료
[cs-embed] 23:19:25   3200/3318 처리 완료
[cs-embed] 23:19:51   3318/3318 처리 완료
[cs-embed] 23:19:51 임베딩 완료: 총 3318건
