총 100건 (재고금액 > 0, 재고금액 높은 순 TOP 100)
2024-01-01 이후 발주 있음: 54건 / 없음: 46건

순위 | 품목코드 | 품목명 | SPEC | 재고수량 | 평균단가(원) | 재고금액(원) | 단위 | 위치 | 발주여부 | 최근발주일 | 발주건수 | 프로젝트
1|CKR20-145-1065L|X-AXIS ROBOT|X1-Axis, 800ST|64|2.00002e+06|1.28001e+08|EA|C-F3-2|없음||0|
2|PHRC160-S-550-75-H-S|Robot|Clean Cartesian Robot Ball Screw Type|89|1.17949e+06|1.04974e+08|EA|C-F1-1|있음|2026-03-13|1|메이써루이 프레스 #14 (Kob,10t)
3|POD-22024-4-PEI-LKCB|POD-22024-4-PEI-LKCB|150mm x 320mm x 116mm|51|1.52962e+06|7.80107e+07|EA|C-F4-3|없음||0|
4|MSMF082L1S2|Panasonic A6 ServoMotor||229|180274|4.12827e+07|EA|C-E3-1|없음||0|
5|PHRC070-R-550-20-H-S|Robot|Clean Cartesian Robot Ball Screw Type|38|925000|3.515e+07|EA|C-E2-5|없음||0|
6|SS-540A-V1|VISION_PC|검사장비(SYS-540A,XeonGold6342,DDR4 32GBx4,SSD 500GB,HDD 4TBx2(Raid0),Win10IOT(2021)|5|6.92e+06|3.46e+07|EA|*|있음|2025-11-14|5|MMC 검사기 F2 #1
7|03-11-025-7|Robot Base||39|870947|3.39669e+07|EA|C-F2-1|있음|2025-01-31|2|Press 상부 (24-1)
8|88602|0.367X Platinum Telecentric Lens|0.367X, 1" C-Mount PlatinumTL Telecentric Lens. Macro Module Lens|16|1.85889e+06|2.97422e+07|EA|C-B5-4|없음||0|
9|MXYW81460113AL13-S1|Auto Stage||7|3.47457e+06|2.4322e+07|EA|*|없음||0|
10|NUVO-8034-XEON-V1|Nuvo-8034-NX|Xeon E-2278GE / 32G / MVEN 1TB / WIN10loT|9|2.66e+06|2.394e+07|EA|*|있음|2025-09-12|6|MMC 검사기 F2 #1
11|TCL1.0X-150I-5M|텔레센트릭렌즈|Sensor size : 2/3  F/# : 7.5 Mag : 1.0X  Mag : 1.0X|17|1.37111e+06|2.33089e+07|EA|*|없음||0|
12|TCL0.42x-132I-5M|0.42xTelecentricLens|검사기 측면 Telecentric 렌즈, 0.42x, WD132, 5M급|14|1.4563e+06|2.03881e+07|EA|*|없음||0|
13|G3-CC30-C4040|12M Camera|Dalsa, 12M, Color, CameraLink|6|3.21098e+06|1.92659e+07|EA|*|있음|2026-03-16|2|2026 공용자재 구매
14|MCDLN35BE|Panasonic A6BE ServoDriver||56|339491|1.90115e+07|EA|C-D3-4|있음|2026-03-16|2|한국야금 호닝핸들러 (MEGA-4)
15|MSMF5AZL1T2|Panasonic A6 ServoMotor||83|210172|1.74443e+07|EA|C-E3-3|있음|2025-07-15|4|PickupZ (24-1)
16|LCP160-ST-430L-70-H|Y-AXIS ROBOT|Y-AXIS ROBOT|14|1.22459e+06|1.71443e+07|EA|C-F2-4|없음||0|
17|ZT610-600DPI+REWIND|Label Printer|ZT610-600dpi+Peel Off+Rewinder + Keyboard Display|3|5.49768e+06|1.64931e+07|EA|C-H2-1|있음|2025-07-21|5|한국야금 포장기 #6 (#25-3)
18|G3-CC30-C2450|5M Camera|Dalsa, 5M, Color, CameraLink|10|1.63974e+06|1.63974e+07|EA|*|있음|2026-03-16|2|2026 공용자재 구매
19|AD-8923-CC|INDICATOR||22|730496|1.60709e+07|EA|C-B2-6|있음|2025-06-16|6|PPW 프레스 #2
20|PR100073|KUNBUS Gateways|EtherCAT Type|73|200829|1.46605e+07|EA|C-A3-2|없음||0|
21|55348|0.125X, 2/3" GoldTL Telecentric Lens||6|2.4e+06|1.44e+07|EA|C-B4-1|없음||0|
22|WCRDRL130-S24W|MICRO TOP VISION|MICRO TOP COM LIGHT [ 3CH, WHITE, 24V STROBE ]|8|1.77e+06|1.416e+07|EA|C-B5-1|없음||0|
23|MCDHT3520BA1|Panasonic A5B ServoDriver||44|312401|1.37456e+07|EA|C-D3-5|없음||0|
24|50-01-03-0|3Jaw Pin Holder Ø1.2|Grip : Ø6.4, Ungrip : Ø2.6|308|44205|1.36151e+07|EA|C-B1-2|있음|2024-10-14|4|탕가로이PVD 그리퍼 홀더 구매 건
25|EZI-EC-42M-A|EZI-SERVOII-EC-42M-A|Drive & Motor Set|32|421744|1.34958e+07|EA|*|있음|2026-03-16|41|YG1 PVD #2 개조
26|CVD524BR-K|Motor Driver||88|152300|1.34024e+07|EA|C-C5-5|있음|2024-08-21|1|MMC 기후 프레스 #2 (kob,20t)
27|DTP7-D2|DTP7-D2|Serial Type|17|780000|1.326e+07|EA|C-B3-5|없음||0|
28|HALCONRUNTIMELICENSE|RUN TIME LICENSE|HALCON 20.11 STEADY|4|3.14445e+06|1.25778e+07|EA|*|없음||0|
