CNCZUHP0004 | 쑤저우 신루이 프레스 #4~5 | 신루이 | in_progress
CNCMAHP0012 | 메이써루이 프레스 #12~14 | 메이써루이 | in_progress
KRKKOHP4001 | 한국야금 프레스 #40t-1 (Kob, 40t) | 한국야금 | in_progress
CNCMAHP0011 | 메이써루이 프레스 #11 | 메이써루이 | completed
KRKTGHS20001 | 대구텍 PVD-UL #1 (개조) | 대구텍 | in_progress
KRKKOHS10004 | 한국야금 CVD #4 | 한국야금 | in_progress
KRKTGHIM0001 | 대구텍 검사기 F2 #1 | 대구텍 | in_progress
JPJMOHP0001 | 몰디노 프레스 #1 (Kob, 20t, 환봉) | 몰디노 | in_progress
CNCGSHP0010 | 하이썽 프레스 핸들러 #10 | 깐조우 하이썽 | completed
CNCGSHP0009 | 하이썽 프레스 핸들러 #9 | 깐조우 하이썽 | completed
CNCCJHP0001 | 천진 허리 프레스 #1 | 천진 허리 | completed
JPJMOHS20001 | 몰디노 PVD-L #1 | 몰디노 | setup
KRKKOHS20005 | 한국야금 PVD 로딩 #5,#6 (선제작) | 한국야금 | completed
KRKKOHS40001 | 한국야금 리팔레팅 #1 개조 |  | completed
CNCGSHN0001 | 하이썽 호닝형상검사기 #1 (#23-3) |  | completed
CNCGSHS40001 | 하이썽 마스크자동기-ULo #1 |  | completed
CNCJGHS30002 | 지우쟝진루 소결취출기 #2 (#22-9) |  | completed
KRKKOHIM0006 | 한국야금 검사기 F1 #6 | 한국야금 | completed
KRKYGHS20002 | YG1 PVD #2 개조 |  | completed
KRKYGHS20001 | YG1 PVD #1 개조 |  | completed
EUECTHS10001 | CTA CVD #1 | 세라티즈 | completed
EUECTHS20002 | CTA PVD-UL #2 | 세라티즈 | completed
EUECTHS30001 | CTA 소결취출기 #1 | 세라티즈 | completed
KRKKOHPL0001 | 한국교세라 포장기 #1 개조건 |  | completed
JPJMMHIM0001 | MMC 검사기 F2 #1 | MMC | completed
KRKKOHPL0002 | 한국교세라 포장기 #2 개조건 |  | completed
CNCKYHF10001 | 중국 교세라 검사기 F1 #1 |  | completed
CNCZSHP0004 | 주주숴얼 프레스 #4 (Dor,EP-16) |  | completed
KRWTAHG2201 | 연삭기핸들러 | WTA | in_progress
KRWTAHS42302 | 스탈리연삭핸들러 (언로딩) | WTA | in_progress
KRWTAHIM2201 | [선제작] 호닝형상검사기 #22-1 | WTA | in_progress
KRWTAHS42301 | 스탈리연삭핸들러 (로딩) | WTA | in_progress
KRWTAHIM2304 | [선제작] 호닝형상검사기 #23-4 | WTA | in_progress
KRWTAHIM2302 | [선제작] 호닝형상검사기 #23-2 | WTA | in_progress
KRWTAHIM2501 | 다인정공 F1 #1 (#25-1)_딥러닝 | 다인정공 | in_progress
KRWTAHIM2402 | 다이제트 HIM-F1 #1 (#24-2) |  | completed
KRWTAHP2001 | 한국 교세라 검사기 F2 #1 (#20-1) | 교세라 | completed
KRWTAHS12102 | 한국 교세라 CVD #3 (#21-2) | 교세라 | completed
KRWTAHS22302 | [선제작] PVD 언로딩 #23-2 | WTA | in_progress
KRWTAHS22301 | [선제작] PVD 로딩 #23-1 | WTA | in_progress
KRWTAHPL2501 | [선제작] 포장기 #25-1 (교세라CN) | WTA | in_progress
KRWTAHPL2205 | YG1 포장기 #4 (#22-5) | YG1 | completed
KRWTAHS32401 | [선제작] 소결취출기 #24-1 (VE) | WTA | in_progress
JPKYOLAM0001 | 일본 교세라 라벨 부착기 #1~2 |  | completed
HS3ME02308003 | 하이썽 소결취출기 #2 (#23-5) | 깐조우 하이썽 | on_hold
CNCMAHP0001 | 메이써루이 프레스 #7~10 (SP160) | 메이써루이 | completed
CNCGSHP0008 | 하이썽 프레스 #8 (Kob,10t) |  | completed
KRKKOHS20004 | 한국야금 PVD 로딩 #4 |  | completed
KRKKOHP1605 | 한국야금 프레스 #16t-5 (Ost,SP160) |  | completed
CNCKYHP0003 | 깐저우 교세라 프레스 #3 |  | completed
JPJACHP0003 | 아크시스 프레스 #3(Kob,60t) |  | completed
KRKDNHM0001 | 다인정공 레이저마킹기 #1 |  | completed
KRWTAHS22501 | [선제작] PVD 로딩 #25-1 | WTA | in_progress
KRKKOHPL0006 | 한국야금 포장기 #6 (#25-3) | 한국야금 | completed
KRKKOHGH0004 | 한국야금 호닝핸들러 (MEGA-4) |  | completed
KRKKYHIMH001 | 교세라 호닝형상검사기 #1 (선제작#4) |  | completed
