column_name | data_type
-------------------------------------------
id | bigint
shipment_id | integer
status | character varying
customer_contact_name | character varying
customer_contact_name_2 | character varying
customer_contact_phone | character varying
customer_contact_email | character varying
cs_receiver | character varying
cs_received_at | timestamp with time zone
related_dept | character varying
related_dept_contact | character varying
handling_method | character varying
sales_contact | character varying
free_paid_type | character varying
paid_attachment | character varying
attachment | text
title | character varying
symptom_and_cause | text
single_choice | character varying
issue_management_required | character varying
cs_handler | character varying
cs_planned_at | date
cs_completed_at | date
cause_dept_1 | character varying
cause_dept_2 | character varying
cause_dept_3 | character varying
cause_dept_4 | character varying
cause_dept_5 | character varying
cause_part | character varying
cause_detail_design_1 | character varying
cause_detail_design_2 | character varying
cause_detail_manufacturing_1 | character varying
cause_detail_manufacturing_2 | character varying
cause_detail_control_1 | character varying
cause_detail_control_2 | character varying
cause_detail_sw_1 | character varying
cause_detail_sw_2 | character varying
cause_detail_vision_1 | character varying
cause_detail_vision_2 | character varying
cause_detail_description | text
action_result | text
attachment_result | text
created_at | timestamp with time zone
updated_at | timestamp with time zone
updated_by | character varying
csv_source_id | integer
cs_receiver_id | integer
cs_handler_id | integer
related_dept_contact_id | integer
sales_contact_id | integer
updated_by_id | integer
attachment_urls | jsonb
result_attachment_urls | jsonb
title_en | text
title_zh | text
title_ja | text
symptom_and_cause_en | text
symptom_and_cause_zh | text
symptom_and_cause_ja | text
cause_detail_description_en | text
cause_detail_description_zh | text
cause_detail_description_ja | text
action_result_en | text
action_result_zh | text
action_result_ja | text
trip_start_date | timestamp with time zone
trip_end_date | timestamp with time zone
trip_purpose | text
trip_duration_days | integer
cause_classification | jsonb
action_methods_json | jsonb
error_detail | jsonb
action_result_status | character varying
prevention_measures | jsonb

�� 74��
