item_cd | item_nm | spec | item_lvl1 | item_lvl2 | item_lvl3 | use_yn | maker
-------------------------------------------------------------------------------------------------
50-01-01-0 | 3Jaw Tool Holder 13mm | 기본형 |  |  |  | Y | 정밀가공
50-01-02-0 | 3Jaw Pin Ø1.2 | Ø1.2, 19.0mm |  |  |  | Y | 정밀가공
50-01-03-0 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 |  |  |  | Y | 정밀가공
50-01-04-0 | 3Jaw Pin Ø1.0 | Ø1.0, 19.0mm |  |  |  | Y | 정밀가공
50-01-05-0 | 3Jaw Pin Holder Ø1.0 | Grip : Ø6.1, Ungrip : Ø2.2 |  |  |  | Y | 정밀가공
50-01-06-0 | 3Jaw Pin Ø0.8 | Ø0.8, 19.0mm |  |  |  | Y | 정밀가공
50-01-07-0 | 3Jaw Pin Holder Ø0.8 | Grip : Ø5.7, Ungrip : Ø1.8 |  |  |  | Y | 정밀가공
50-01-08-0 | 3Jaw Pin Ø0.6 | Ø0.6, 19.0mm |  |  |  | Y | 
50-01-09-1 | 3Jaw Pin Holder Ø0.6, LN | Grip : Ø5.4, Ungrip : Ø1.4 [Long] |  |  |  | Y | 
50-01-10-0 | 3Jaw Pin Holder Ø1.0 | Grip : Ø7.1, Ungrip : Ø3.2 |  |  |  | N | 정밀가공
50-01-11-0 | 반사판 Brkt |  |  |  |  | Y | 
50-01-12-0 | 반사판 |  |  |  |  | Y | 
50-01-13-0 | 반사판 |  |  |  |  | Y | 
50-01-13-1 | 반사판 |  |  |  |  | Y | 가공
50-01-15-0 | 3Jaw IB Pin Ø3.5 | Ø3.5, 17.5mm (Integrated Body, Nub) |  |  |  | Y | 
50-01-16-0 | 3Jaw Pin Holder Ø1.2 | Grip : Ø9.2, Ungrip : Ø6.0 |  |  |  | Y | 
50-01-17-0 | 3Jaw Pin Ø1.5 | Ø1.5, 19.0mm |  |  |  | Y | 
50-01-18-0 | 3Jaw Pin Holder Ø1.5 | Grip : Ø7.1, Ungrip : Ø3.2 |  |  |  | Y | 
50-01-26-0 | 3Jaw Pin Ø1.2 | Ø1.2, 22.0mm |  |  |  | Y | 
50-01-27-0 | 3Jaw IB Pin Ø2.8 |  |  |  |  | N | 
50-01-27-1 | 3Jaw IB Pin Ø2.8 |  |  |  |  | N | 
50-01-27-2 | 3Jaw IB Pin Ø2.8 | Ø2.8, 22.5mm (Integrated Body, Straight) |  |  |  | Y | 정밀가공
50-01-28-0 | 3Jaw IB Pin Ø3.5 | Ø3.5, 22.5mm (Integrated Body, Straight) |  |  |  | Y | 
50-01-30-0 | 3Jaw Tool Holder | 한국야금 호닝기 2,3호기용 |  |  |  | Y | 정밀가공
50-01-31-0 | 3Jaw Pin Ø0.8, DC | Ø0.8, 19.0mm, D-cut |  |  |  | Y | 진성정밀
50-01-32-0 | 3Jaw Pin Holder Ø1.2, 2P | Grip : Ø6.4,Ø9.2 Ungrip : Ø2.6,Ø5.2 |  |  |  | Y | 정밀가공
50-01-33-0 | 3Jaw Pin Holder Ø1.2, 2P | Grip : Ø6.4,Ø9.4 Ungrip : Ø2.6,Ø5.4 |  |  |  | Y | 정밀가공
50-01-34-0 | 3Jaw Pin Holder Ø1.2, 2P | Grip : Ø6.4,Ø10.4 Ungrip : Ø2.6,Ø6.4 |  |  |  | Y | 정밀가공
50-01-34-1 | 3Jaw Pin Holder Ø1.2, 2P | Grip : Ø6.4,Ø10.4 Ungrip : Ø2.6,Ø6.4 |  |  |  | Y | 
50-01-35-0 | 3Jaw Pin Ø1.2, TA | Ø1.2, 19.0mm, Taper (3.0 x 0.7) |  |  |  | Y | 
50-01-36-0 | 3Jaw IB Pin Ø2.25 | 교세라 후지산기 용 |  |  |  | Y | 정밀가공
50-01-36-1 | 3Jaw IB Pin Ø2.25 | 교세라 후지산기 용 |  |  |  | Y | 정밀가공
50-01-37-0 | Gripper Spacer |  |  |  |  | Y | 
50-01-38-0 | 3Jaw IB Pin Ø1.8 | Ø1.8, 19mm (Integrated Body, Straight) |  |  |  | Y | 
50-01-39-0 | 3Jaw Pin Ø2.5 | Ø2.5, 30.0mm |  |  |  | Y | 
50-01-40-0 | 3Jaw Pin Holder Ø2.5 | Grip : Ø9.2, Ungrip : Ø5.4 |  |  |  | Y | 
50-01-41-0 | Support |  |  |  |  | Y | 가공
50-01-42-0 | 반사판 |  |  |  |  | Y | 가공
50-01-43-0 | 3Jaw OD Pin Ø14.7-18.0 | 외경파지, Grip : Ø14.7 Ungrip : Ø18.0 |  |  |  | Y | 가공
50-01-44-0 | 3Jaw Tool Holder 25.1mm | Long (25.1mm) |  |  |  | Y | 
50-01-44-1 | 3Jaw Tool Holder 23mm | Long (23mm) |  |  |  | Y | 
50-01-45-0 | 3Jaw IB Pin Ø2.0 | Ø2.0, 루이안프레스용 |  |  |  | Y | 가공
50-01-46-0 | 3Jaw IB Pin Ø2.5 | Ø2.5, 루이안프레스용 |  |  |  | Y | 가공
50-01-47-0 | 3Jaw IB Pin Ø3.0 | Ø3.0, 루이안프레스용 |  |  |  | Y | 가공
50-01-48-0 | 3Jaw Pin Holder Ø1.0, LN | Grip : Ø6.1, Ungrip : Ø2.2 [Long] |  |  |  | Y | 가공
50-01-49-0 | 3Jaw Pin Ø1.0 | Ø1.0, 24.0mm |  |  |  | Y | 가공
50-01-50-0 | 3Jaw Reflective plate | HXNN4-5 3EA 구매 후 본딩 |  |  |  | Y | 가공
50-01-50-1 | 3Jaw Reflective plate | HXNN4-5 3EA 구매 후 본딩 |  |  |  | Y | 가공
50-01-51-0 | 3Jaw Pin Holder Ø0.7, LN | Grip : Ø5.6, Ungrip : Ø1.7 [Long] |  |  |  | Y | 가공
50-01-52-0 | 3Jaw Pin Ø0.7 | Ø0.7, 19.0mm |  |  |  | Y | 가공
50-01-53-0 | 3Jaw Pin Holder Ø0.6, LN | Grip : Ø5.4 Ungrip : Ø1.4 |  |  |  | Y | 가공
50-01-54-0 | 3Jaw Tool Holder 25.1mm | 실리콘 커버 실린더형 |  |  |  | Y | 가공
50-01-55-0 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 (실리콘커버반영) |  |  |  | Y | 가공
50-01-55-1 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 (실리콘커버반영) |  |  |  | Y | 가공
50-01-55-2 | 3Jaw Pin Holder Ø1.2 | Grip : Ø6.4, Ungrip : Ø2.6 (실리콘커버반영) |  |  |  | Y | 가공
50-01-56-0 | 3Jaw Pin Holder Ø1.0 | Grip : Ø6.0, Ungrip : Ø2.2 (실리콘커버반영) |  |  |  | Y | 가공
50-01-57-0 | 3Jaw Pin Holder Ø0.8 | Grip : Ø5.6, Ungrip : Ø1.8 (실리콘커버반영) |  |  |  | Y | 가공
50-01-58-0 | 3Jaw Reflective plate | HXNN4-5 3EA 구매 후 본딩 |  |  |  | Y | 가공
50-01-59-0 | 3Jaw Pin Ø2.5 | Ø2.5, 19.0mm |  |  |  | Y | 
