manufacturer | files | chunks
-------------------------------------------------
Mitsubishi | 126 | 60103
LS | 187 | 56704
Unknown | 403 | 43853
Panasonic | 56 | 17394
Yaskawa | 39 | 15001
Fastech | 48 | 6323
ACS | 18 | 4350
ABB | 28 | 3330
WTA | 15 | 1980
Beckhoff | 8 | 1921
Cognex | 6 | 1212
Samsung | 14 | 709
Sanyo | 2 | 703
IntervalZero | 3 | 684
Siemens | 8 | 648
SICK | 9 | 534
Keyence | 12 | 497
SoftServo | 9 | 422
Delta | 6 | 317
Rockwell | 4 | 303
NDA | 1 | 295
EtherCAT | 6 | 260
Omron | 6 | 150
Nexcom | 2 | 117
Applied Motion | 2 | 117
Crevis | 3 | 96
Leadshine | 7 | 89
FANUC | 4 | 53
Bosch | 1 | 41
SMC | 2 | 23
BoschRexroth | 1 | 22
SEW | 2 | 18
Autonics | 1 | 9
WAGO | 1 | 2

총 34건
