품목코드: 50-01-07-0 (3Jaw Pin Holder Ø0.8)
총 15건

발주번호 | 발주일 | 수량 | 프로젝트명 | 업체
--------------------------------------------------------------------------------
PO241000151 | 2024-10-14 | 100ea | 2024 공용자재 구매 | 진성정밀
PO240700209 | 2024-07-16 | 100ea | 2024 공용자재 구매 | 디에이치씨
PO240200143 | 2024-02-07 | 3ea | 2024 개발용 자재 구매(단품,비프로젝트) | 진성정밀
PO240100169 | 2024-01-17 | 30ea | 탕가로이PVD 그리퍼 홀더 구매 건 | 진성정밀
PO211200105 | 2021-12-13 | 150ea | 2021 공용자재 구매 | 진성정밀
PO211200071 | 2021-12-06 | 50ea | 2021 공용자재 구매 | 진성정밀
PO211100028 | 2021-11-02 | 100ea | 2021 공용자재 구매 | 진성정밀
PO210400004 | 2021-04-01 | 30ea | 화루이 부품(핀, 핀홀더, x2축 모듈) 외 | 진성정밀
PO200400088 | 2020-04-10 | 30ea | 2020 공용자재 구매 | 진성정밀
PO190300238 | 2019-03-26 | 32ea | 2018 공용 자재 구매 | 진성정밀
PO190300217 | 2019-03-25 | 18ea | 자화전자 상하면 #2 | 진성정밀
PO181100601 | 2018-11-23 | 6ea | 한국야금 편면 6호기 | (주)쓰리피아이
PO181100404 | 2018-11-15 | 30ea | 2018 공용 자재 구매 | 진성정밀
PO181100145 | 2018-11-06 | 18ea | 한국야금 리팔레팅 | 정원테크
PO181000612 | 2018-10-29 | 18ea | 한국야금 CVD#3 호기 | 진성정밀
