item_cd | item_nm | spec | maker | model
------------------------------------------------------------
CSZ202401004 | 하이페리온 프레스 디버링 모터 요청건 |  |  | CSZ20
CSZ202502022 | 웨이카이 프레스 핸들러 하부 디버링 모터 판매건 |  |  | CSZ20
CSZ202602015 | 다이제트 프레스 디버링 모터 구매 건 |  |  | CSZ20
CSZ202510008 | 치앙루이 프레스 핸들러 작업 툴 & 작업 툴 모터 세트 판매건 |  |  | CSZ20
CSZ202412007 | 주주좐스 스텝핑 모터 요청건 |  |  | CSZ20
CSZ202501005 | 주주쫜스 디버링 모터 판매건 |  |  | CSZ20
PTZZ02212003 | 오흥상사 디버링 모터 및 브러쉬클램프 |  |  | PTZZ0
CSZ202411025 | 웨이카이 하부 디버링 모터 |  |  | CSZ20
CSZ202506010 | 웨이가우 하부 디버링 모터 판매건 |  |  | CSZ20
PTZZ02307006 | 아크텍 모터 |  |  | PTZZ0
CSZ202312007 | 오커이 프레스 샘플링컨베어 모터 요청건 |  |  | CSZ20
CSZ202604002 | 쯔루이 프레스 핸들러 복합툴 모터 판매건 |  |  | CSZ20
CSZ202407023 | 커얼눠 프레스 하부 디버링모터 판매건 |  |  | CSZ20
CSZ202507001 | 커얼눠 컨베어 모터 드라이브 판매 건 |  |  | CSZ20
CSZ202412014 | 쯔루이 복합툴 청소 브러쉬 모터 수리건 |  |  | CSZ20
PTZZ02305012 | 아크텍 모터 구매 |  |  | PTZZ0
CSZ202507009 | 커얼눠 모터 드라이브 판매건 |  |  | CSZ20
MFMCA0080AEB | 모터 케이블 | 8M, 0.75mm2, 가동형, 케이블 메이커 WTA기본 사양 |  | 
CSZ202506024 | 쒀얼 프레스 하부 디버링 모터 요청건 |  |  | CSZ20
CSZ202509019 | 텐궁 디버링 모터 & 디버링 브러쉬 판매건 |  |  | CSZ20
CSZ202505027 | 다이제트 프레스#1 타이밍 벨트 풀리 구매건 (모터 반대쪽) |  |  | CSZ20
CSZ202307001 | 한국야금 호닝기 100W RS 서보 모터 요청건 |  |  | CSZ20
SV670NS1R6I-FS | 이노반스 100W - SERVO |  |  | 
CSZ202111012 | 한국야금 프레스 10-4호기 모터드라이브 교체 건 |  |  | CSZ20
CSZ202112020 | 한국야금 프레스 10-4호기 Z축 모터 교체 |  |  | CSZ20
CSZ202204016 | 한국야금 프레스 10t-5 복합툴 모터 구매 |  |  | CSZ20
CSZ202210008 | 교세라 프레스 10톤 Z축 모터 교체건 |  |  | CSZ20
CSZ202101005 | 자화전자 프레스 15-2호기 EV축 모터드라이브 교체 건 |  |  | CSZ20
CSZ202204013 | 한국야금 #16t-9 디버링 모터 교체건 |  |  | CSZ20
CSZ202405008 | 다이제트 프레스#2 모터/앰프 구매 건 |  |  | CSZ20
CSZ202602006 | 교세라 포장기 #2 매거진 구동 벨트 및 모터 |  |  | CSZ20
CSZ202508002 | 한국야금 20-1호기 측면디버링 모터 교체건 |  |  | CSZ20
CSZ202111013 | 한국야금 프레스 20-5호기 모터드라이브 교체 건 |  |  | CSZ20
CSZ202407012 | 교세라 검사기 2호기 LD_R축 모터 교체 |  |  | CSZ20
CSZ202401041 | 교세라 검사기 2호기 LO_R 모터 교체건 |  |  | CSZ20
CSZ202106020 | 교세라 포장기 2호기 MARK_A 모터 및 케이블 교체 |  |  | CSZ20
CSZ202412016 | 교세라 포장기 #3 스테팅 모터 파워선 |  |  | CSZ20
CSZ202411027 | 주주쫜스 포장기 3호기 A_LABEL_T축 모터 판매건 |  |  | CSZ20
PTZZ01907007 | 한국야금 서보모터드라이브 (400w) [김민기] |  |  | PTZZ0
CSZ202302017 | 리펑 프레스 #4 2단컨베이어 모터 드라이버 교체건 |  |  | CSZ20

총 40건
