old_filename,new_filename,manufacturer,model,doctype,language,category_valid,notes
ABB_ABB_CommManual_KO.pdf,ABB_PCIe_CommManual_KO.pdf,ABB,PCIe,CommManual,KO,true,
ABB_ABB_InstallGuide_EN.pdf,ABB_Unknown_UserManual_JA.pdf,ABB,,UserManual,JA,true,model unidentified
ABB_ABB_InstallGuide_EN_2.pdf,ABB_G3-C00M-USR00_InstallGuide_EN.pdf,ABB,G3-C00M-USR00,InstallGuide,EN,true,
ABB_ABB_InstallGuide_EN_3.pdf,ABB_PCIe-PoE354at-PoE352at_CommManual_EN.pdf,ABB,PCIe-PoE354at/PoE352at,CommManual,EN,true,
ABB_ABB_InstallGuide_EN_4.pdf,ABB_PCIe-PoE354at-PCIe-_InstallGuide_EN.pdf,ABB,PCIe-PoE354at/PCIe-,InstallGuide,EN,false,
ABB_ABB_InstallGuide_EN_5.pdf,ABB_AREA_InstallGuide_EN.pdf,ABB,AREA,InstallGuide,EN,true,
ABB_ABB_InstallGuide_EN_6.pdf,ABB_G3-C00M-USR00_InstallGuide_EN_v2.pdf,ABB,G3-C00M-USR00,InstallGuide,EN,true,
ABB_ABB_MaintenanceManual_EN.pdf,ABB_DEUTSCH_InstallGuide_EN.pdf,ABB,DEUTSCH,InstallGuide,EN,true,
ABB_ABB_ParameterManual_EN.pdf,ABB_EURESYS_ParameterManual_EN.pdf,ABB,EURESYS,ParameterManual,EN,false,
ABB_ABB_SetupGuide_EN.pdf,ABB_Unknown_ParameterManual_EN.pdf,ABB,,ParameterManual,EN,true,model unidentified
ABB_ABB_UserManual_EN.pdf,ABB_OC-Y4CM-MUSR0_UserManual_EN.pdf,ABB,OC-Y4CM-MUSR0,UserManual,EN,true,
ABB_DALSA-G_InstallGuide_EN.pdf,ABB_DALSA-G_InstallGuide_EN.pdf,ABB,DALSA-G,InstallGuide,EN,true,
ABB_MX4_Manual_KO.pdf,ABB_MX4_CommManual_KO.pdf,ABB,MX4,CommManual,KO,true,
ABB_MX4_UserManual_EN.pdf,ABB_MX4_UserManual_EN.pdf,ABB,MX4,UserManual,EN,true,
ABB_PCI_InstallGuide_EN.pdf,ABB_PCI_CommManual_EN.pdf,ABB,PCI,CommManual,EN,true,
ABB_PCI_InstallGuide_EN_2.pdf,ABB_PCI_InstallGuide_EN.pdf,ABB,PCI,InstallGuide,EN,false,
ABB_SENSICK_MaintenanceManual_EN.pdf,ABB_SENSICK_InstallGuide_EN.pdf,ABB,SENSICK,InstallGuide,EN,true,
ABB_Unknown_InstallGuide_EN.pdf,ABB_AREA_InstallGuide_EN_v2.pdf,ABB,AREA,InstallGuide,EN,true,
ABB_Unknown_ParameterManual_EN.pdf,ABB_EURESYS_ParameterManual_EN_v2.pdf,ABB,EURESYS,ParameterManual,EN,false,
ABB_Unknown_SetupGuide_EN.pdf,ABB_Unknown_ParameterManual_EN_v2.pdf,ABB,,ParameterManual,EN,true,model unidentified
ABB_Unknown_UserManual_EN.pdf,ABB_G3-C00M-USR00_InstallGuide_EN_v3.pdf,ABB,G3-C00M-USR00,InstallGuide,EN,true,
Autonics_PR12-4DN_InstallGuide_KO.pdf,Autonics_PR12-4DN_UserManual_KO.pdf,Autonics,PR12-4DN,UserManual,KO,true,
Keyence_GT2_CommManual_KO.pdf,Keyence_GT2_CommManual_KO.pdf,Keyence,GT2,CommManual,KO,true,
Keyence_GT2_Manual_KO.pdf,Keyence_GT2_CommManual_KO_v2.pdf,Keyence,GT2,CommManual,KO,true,
Keyence_IL-030_CommManual_KO.pdf,Keyence_IL-030_CommManual_KO.pdf,Keyence,IL-030,CommManual,KO,true,
Keyence_IL-030_Manual_KO.pdf,Keyence_IL-030_CommManual_KO_v2.pdf,Keyence,IL-030,CommManual,KO,true,
Keyence_KEYENCE_Manual_KO.pdf,Keyence_G87KO_UserManual_KO.pdf,Keyence,G87KO,UserManual,KO,true,
Keyence_KEYENCE_UserManual_KO.pdf,Keyence_G87KO_UserManual_KO_v2.pdf,Keyence,G87KO,UserManual,KO,true,
Keyence_Unknown_CommManual_KO.pdf,Keyence_CMOS_UserManual_KO.pdf,Keyence,CMOS,UserManual,KO,true,
Keyence_Unknown_Manual_KO.pdf,Keyence_D05KO_UserManual_KO.pdf,Keyence,D05KO,UserManual,KO,true,
Keyence_Unknown_UserManual_KO.pdf,Keyence_CMOS_UserManual_KO_v2.pdf,Keyence,CMOS,UserManual,KO,true,
Keyence_Unknown_UserManual_KO_2.pdf,Keyence_D05KO_UserManual_KO_v2.pdf,Keyence,D05KO,UserManual,KO,true,
LS_HR10A-7P_InstallGuide_EN.pdf,LSIS_HR10A-7P_InstallGuide_EN.pdf,LSIS,HR10A-7P,InstallGuide,EN,false,
LS_LK-H1W-MANUAL_InstallGuide_EN.pdf,LSIS_LK-H1W-MANUAL_InstallGuide_EN.pdf,LSIS,LK-H1W-MANUAL,InstallGuide,EN,true,
LS_LK-H1W-MANUAL_OperationManual_EN.pdf,LSIS_LK-H1W-MANUAL_InstallGuide_EN_v2.pdf,LSIS,LK-H1W-MANUAL,InstallGuide,EN,true,
