프로젝트에 장비 키워드 없는 품목 (발주이력 장비유형 있음): 479건

코드 | 품명 | 수량 | 금액 | 프로젝트 | 장비유형
------------------------------------------------------------------------------------------------------------------------
EZI-EC-42M-A | EZI-SERVOII-EC-42M-A | 32 | 13,495,820 | [개발] 스페이서 테스트지그 | CVD/PVD/검사기/소결/포장기/프레스/핸들러
DTP7-D2 | DTP7-D2 | 17 | 13,260,000 | 하이페리온 TP 판매건 | CVD/PVD/검사기/프레스/핸들러/호닝형상
MADHT1505BA1 | Panasonic A5B ServoDriver | 43 | 11,919,428 | 2026 프로젝트외 무상 자재 | CVD/PVD/검사기/소결/포장기/프레스/핸들러/호닝형상
SS-540A | IPC | 1 | 9,600,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
50-01-07-0 | 3Jaw Pin Holder Ø0.8 | 156 | 7,727,460 | 대구텍 0.8 핀 홀더 판매건 | CVD/PVD
50-04-46-0 | Gripper Holder (Vacuum) | 36 | 6,120,000 | [선제작] HIM-F1 #21-2 개조 | 소결
OR-Y4C0-XMX00 | FrameGrabber | 8 | 6,120,000 | [개발] OD 측정기 | 검사기
110XI4300DPI+REWIND | Label Printer | 2 | 5,600,000 | 교세라 라벨부착기 #1 | 포장기
POD-5024-2-PEI-NDUD | LightController | 5 | 4,750,000 | 2018 공용 자재 구매 | 검사기
LCHZ6-8 | Bush | 431 | 4,655,432 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
110XI4600DPI+REWIND | Label Printer | 1 | 4,050,000 | 교세라 라벨부착기 #1 | 포장기
GX-5SU | PROX. SENSOR | 82 | 3,851,130 | [개발] 복합툴 개발 | 검사기/프레스/핸들러
ZT610-300DPI+REWIND | Label Printer | 1 | 3,800,000 | 2026 프로젝트외 무상 자재 | 포장기
50-02-31-1 | Gripper (2-Jaw) | 22 | 3,520,000 | 2025 프로젝트외 무상 자재 | 프레스
07-70-15-0 | Brush | 100 | 3,376,200 | 아크텍 크리닝 툴 브러쉬 요청건 | 프레스
NUVO-6002-I5-V5 | Nuvo-6002 | 2 | 3,099,594 | 중국사무실 보관 CS자재 | PVD/소결/프레스/핸들러
DRMD140-RP-400 | Z-AXIS ROBOT | 2 | 2,962,000 | CS 재고용 자재구매 | 프레스/핸들러
M3514-MP | Camera Lens | 39 | 2,925,000 | 2026 개발용 자재 구매(단품) | 검사기/소결/포장기/핸들러/호닝형상
VCBL-10M | VisionCable GigE | 17 | 2,893,205 | 한국야금 비전 케이블 판매건 | CVD/PVD/검사기/포장기/프레스/핸들러/호닝형상
50-03-36-0 | Gripper Holder (Pisco) | 17 | 2,890,000 | 쫜스(창즈예) 2죠 툴뭉치  판매건 | PVD/포장기/핸들러
CSD5-01BX1 | Servo Driver | 12 | 2,888,784 | 2023 자재수리 비용 | CVD
50-03-30-0 | 2Jaw Gripper | 206 | 2,875,760 | 장비별 소모품 구매 | 포장기
AD-4212C-300-S | SCALE | 2 | 2,800,000 | 텐궁 저울 판매건 | 프레스/핸들러
EZI-EC-ALL-60L-A-R | EZI-SERVOII-EC-ALL-60L-A- | 5 | 2,565,500 | 2026 개발용 자재 구매(단품) | PVD/검사기/소결/포장기/프레스/핸들러
50-01-09-1 | 3Jaw Pin Holder Ø0.6, LN | 69 | 2,515,188 | 2026 프로젝트외 무상 자재 | PVD
50-03-49-2 | Align Block | 31 | 2,480,000 | 중국 센터 재고 | 검사기/교정
91-50-04-2 | Jig Quartz Glass | 99 | 2,251,615 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
MSMD082S1S | Panasonic A5 ServoMotor | 11 | 2,248,285 | 한국야금 편면 #7 Y축 모터, 케이블 교체건 | PVD/프레스/핸들러/호닝형상
91-50-05-2 | Jig Quartz Glass | 102 | 2,244,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
CHM08BC03C | Pisco Cylinder | 37 | 2,203,535 | 2026 프로젝트외 무상 자재 | PVD/검사기/소결/포장기/핸들러
MSMD042S1S | Panasonic A5 ServoMotor | 13 | 2,102,165 | 화루이 Adapter & Panasonic Motor & Reducer  | 소결/포장기/프레스/핸들러
19-24-14-3 | O Ring Box | 23 | 1,955,000 | 2021 개발용 자재 구매(단품,비프로젝트) | 검사기
M3528-MPW3 | Camera Lens | 10 | 1,940,000 | 2025 개발용 자재 구매(단품,비프로젝트) | 핸들러/호닝형상
50-04-33-0 | Vacuum Gripper (T16) | 88 | 1,900,888 | 2024 개발용 자재 구매(단품,비프로젝트) | CVD
50-01-15-0 | 3Jaw IB Pin Ø3.5 | 9 | 1,890,000 | 한국교세라 베큠패트 2.9파이, 3조 그리퍼, 2jaw gripper 5 | PVD
50-04-47-0 | Filter Connector | 34 | 1,870,000 | [선제작] HIM-F1 #21-2 개조 | 소결
50-01-06-0 | 3Jaw Pin Ø0.8 | 1604 | 1,831,768 | 2025 프로젝트외 무상 자재 | CVD
VPRO-PLUS-USB | Vision S/W License | 1 | 1,800,000 | 몰디노 리팔레팅 #1 | 검사기/소결/포장기
LCP070-RT-400L-20-H | Robot | 2 | 1,666,666 | 한국야금 6t-1 X2축 로봇 교체 및 스페어 | 프레스/핸들러
PHRC070-U-450-10 | Robot | 2 | 1,582,000 | 세라티즈 HIM-F1 #1 (#24-1) | 검사기/핸들러
50-08-12-0 | 2Jaw Gripper (Festo) | 9 | 1,494,000 | 2022 무상 C/S 자재 구매 | 프레스
OD2-N30W04A2 | Displacement Sensor | 1 | 1,450,000 | 교세라 후지산기핸들러 #1 | 핸들러
NvidiaRTXA4000 | GPU Quadro, 그래픽카드 | 1 | 1,400,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
ABS-53C-30A | MCCB | 44 | 1,392,028 | 교세라(일본) 라벨부착기 #2 | CVD/PVD/소결/포장기
23-00-68-0 | Gripper | 16 | 1,360,000 | 2024 프로젝트외 무상 자재 | PVD
HXNN10-5 | Magnet | 271 | 1,234,405 | [선제작] HIM-F1 #21-2 개조 | 검사기/프레스/핸들러/호닝형상
PHRC050-S-400-10B-N | Robot | 2 | 1,204,000 | 2021 무상 C/S 자재 구매 | PVD
50-03-25-2 | 2Jaw Gripper | 30 | 1,200,000 | 한국교세라 2-jaw gripper (중형) (대형) | 교정
CLPH-S3S-050R | CameraLink Cable | 12 | 1,128,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기/핸들러
07-21-45-0 | Timing Pulley | 16 | 1,120,000 | 한국야금 ATC 툴 개조건 | 프레스
PHRC70-U-500-10-N | Robot | 1 | 1,095,000 | 다인정공 F1 #1(#25-1)_ 딥러닝 | 검사기
LHFRWMF13 | Linear Bush | 28 | 1,088,696 | 화루이 Insert & Spacer PP Unit 판매건 | PVD/포장기/핸들러/호닝형상
P1083320-012 | ZT-610 600dpi Head | 1 | 1,045,000 | 교세라 라벨부착기 라벨프린터 헤드 판매건 | 포장기
