idx,status,src_category,old_filename,new_filename,dst_folder,mfr,model,doctype,lang,size,pages,md5
1,ok,_root,BASIC-INSTRUCTION-LIST.PDF,Mitsubishi_CRn_InstructionList_EN.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,CRn,InstructionList,EN,714661,12,b504598a2b3885c45b6796cac40c0f64
2,ok,_root,Mitsubishi_BFP-A8588-B_MaintenanceManual_KO.pdf,Mitsubishi_BFP-A8588-B_MaintenanceManual_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A8588-B,MaintenanceManual,KO,904848,62,18a2fd5fb603a7976df4024340be74f2
3,ok,_root,3HAC029963 PS IRB 360-en.pdf,ABB_IRB360_ProductSpec_EN.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,ABB,IRB360,ProductSpec,EN,3871250,54,54fdb56329f0d99bed5e2449898e0bae
4,ok,_root,Mitsubishi_BFP-A8599-D_MaintenanceManual_KO.pdf,Mitsubishi_BFP-A8599-D_MaintenanceManual_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A8599-D,MaintenanceManual,KO,3215596,119,37eccd59b57440563e2f0f441d44bf8f
5,ok,_root,597-0028-04.pdf,Cognex_IS5000_QuickStart_EN.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Cognex,IS5000,QuickStart,EN,2918227,68,9877940c11f40c01cc768187d8c4c094
6,ok,_root,Mitsubishi_BFP-A3475-B_SetupGuide_KO.pdf,Mitsubishi_BFP-A3475-B_SetupGuide_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A3475-B,SetupGuide,KO,2529640,83,745eede34b10299665ef5c49cd15011e
7,ok,_root,Mitsubishi_BFP-A8600-A_SetupGuide_KO.pdf,Mitsubishi_BFP-A8600-A_SetupGuide_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A8600-A,SetupGuide,KO,1899720,96,be7b80e5310216d3a26a8588de82db6e
8,ok,_root,Mitsubishi_BFP-A8601-D_SetupGuide_KO.pdf,Mitsubishi_BFP-A8601-D_SetupGuide_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A8601-D,SetupGuide,KO,2466108,71,c7fe37c1ed98cd07f41a5b08150aa7bf
9,ok,_root,Mitsubishi_Unknown_OperationManual_EN.pdf,Mitsubishi_Unknown_OperationManual_EN.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,Unknown,OperationManual,EN,4078032,211,1bbfa1b9dd43d85e050fe36e3e48ff70
10,ok,_root,Mitsubishi_BFP-A8603B-KR_SetupGuide_KO.pdf,Mitsubishi_BFP-A8603B-KR_SetupGuide_KO.pdf,C:\MES\wta-agents\data\manuals-v2\1_robot,Mitsubishi,BFP-A8603B-KR,SetupGuide,KO,2012619,95,4eae53f91396aaa0d13211b17a144143
