idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
1,ok,2_sensor,"aca series cl tap & trigger 설정 매뉴얼(2040-180km,2000-340km).pdf",Unknown_aca_Manual_KO.pdf,Unknown,aca,Manual,KO,349806,8,ec7b99034b213670b35c6eacd1e7b801
2,ok,2_sensor,LS_Unknown_InstallGuide_EN.pdf,Videojet_Unknown_MaintenanceManual_EN.pdf,Videojet,Unknown,MaintenanceManual,EN,2658278,122,ec53b1f6b53c74894b50334db34511c9
3,ok,2_sensor,Unknown_AW00130804000_InstallGuide_EN.pdf,Unknown_AW00130804000_UserManual_EN.pdf,Unknown,AW00130804000,UserManual,EN,2260948,178,62133da55e3611bb81ae7c511fdce409
4,ok,2_sensor,Unknown_AL-69545-AF_Manual_KO.pdf,Videojet_AL-69545-AF_ParameterManual_KO.pdf,Videojet,AL-69545-AF,ParameterManual,KO,5135234,128,0429d2e628d6a9e574e5185ddde61782
5,ocr,2_sensor,AS_70768_LV-N_SG_469KO_KK_KR_1056_2.pdf,Unknown_AS_Manual_EN.pdf,Unknown,AS,Manual,EN,1402480,0,97df232435cf5ba747a15d055dcb5eb8
6,ok,2_sensor,acA2000-50gm.pdf,Unknown_acA2000-50gm_UserManual_EN.pdf,Unknown,acA2000-50gm,UserManual,EN,553743,10,c2451635d0de96b50585c9aa8ef69720
7,ok,2_sensor,br-laser-product-range-ko.pdf,Videojet_br-laser-product-ran_MaintenanceManual_KO.pdf,Videojet,br-laser-product-ran,MaintenanceManual,KO,6463590,12,fc2afb9efd1bf795c61a505fc82164cd
8,ok,2_sensor,Unknown_AW00015119000_UserManual_EN.pdf,Unknown_AW00015119000_UserManual_EN.pdf,Unknown,AW00015119000,UserManual,EN,3802987,350,9aac93e2d2a4d70da05c2aa3bf68a8d0
9,ok,2_sensor,beA4000-62kc.pdf,Unknown_beA4000-62kc_UserManual_EN.pdf,Unknown,beA4000-62kc,UserManual,EN,267452,6,5de6786c4dab7496e487bd518c611634
10,ok,2_sensor,Unknown_AW00089316000_UserManual_EN.pdf,Unknown_AW00089316000_UserManual_EN.pdf,Unknown,AW00089316000,UserManual,EN,3765328,382,2e4d61e4a8bc9eae0d4febd5a98c7f34
11,ocr,2_sensor,DS_Xtium-CL MX4_kor_151211.pdf,Unknown_DS_Manual_EN.pdf,Unknown,DS,Manual,EN,253600,0,58a0ebd6a06c7b3cf4f4257f3fb6762d
12,ok,2_sensor,Delta_Unknown_Datasheet_EN.pdf,Delta_Unknown_Datasheet_KO.pdf,Delta,Unknown,Datasheet,KO,945173,7,db858aec7b83257d66a61b59b98ab985
