idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
1,ok,3_hmi,Beijer Electronics company presentation June 20 2017.pdf,Unknown_Beijer_Manual_EN.pdf,Unknown,Beijer,Manual,EN,1738346,31,4b2399c17ac53d01ca10eea3de83d744
2,ok,3_hmi,gelic复制加密锁.pdf,Unknown_gelic_Manual_EN.pdf,Unknown,gelic,Manual,EN,446976,11,790c240512fc57a569e05bddeba96984
3,ok,3_hmi,DELTA.pdf,Unknown_DELTA_SetupGuide_KO.pdf,Unknown,DELTA,SetupGuide,KO,81009,3,de01868bed364f2d6238c3a77280244c
4,ok,3_hmi,GE Fanuc .pdf,Fanuc_GE_SetupGuide_KO.pdf,Fanuc,GE,SetupGuide,KO,160810,7,08c6edc79f93fc82db4595ba103bab85
5,ok,3_hmi,Fuji Micrex-F .pdf,Keyence_Fuji_ParameterManual_KO.pdf,Keyence,Fuji,ParameterManual,KO,226571,8,5d928c5cf1c3137ee90ffb7a098d640f
6,ok,3_hmi,Allen-Bradley .pdf,Rockwell_Allen-Bradley_SetupGuide_KO.pdf,Rockwell,Allen-Bradley,SetupGuide,KO,160904,7,37313ce4000db9af72c56deb60d4d1d8
7,ocr,3_hmi,DS_JetNet 3008.pdf,Unknown_DS_EthernetInterface_EN.pdf,Unknown,DS,EthernetInterface,EN,160102,3,1531e5556c5257626a11b4192b336724
8,ok,3_hmi,AGP3000H-ADPCOM-MT01E-BTH.pdf,Omron_AGP3000H-ADPCOM-MT01_Troubleshooting_EN.pdf,Omron,AGP3000H-ADPCOM-MT01,Troubleshooting,EN,845352,16,4315818cbf8a65972cb2bf3b57bd247c
9,ok,3_hmi,GT11 본체 취급설명서(KC용).pd.pdf,Unknown_GT11_MaintenanceManual_KO.pdf,Unknown,GT11,MaintenanceManual,KO,4776714,56,ca31275c7b28dd36c085b1cf12f6a581
10,ok,3_hmi,gpwpts_m.pdf,Unknown_gpwpts_UserManual_EN.pdf,Unknown,gpwpts,UserManual,EN,3302728,220,ea9dfed80809e78dbcc2e232d57cdce3
11,ok,3_hmi,DS_JetNet 2005.pdf,Unknown_DS_SetupGuide_EN.pdf,Unknown,DS,SetupGuide,EN,258352,3,6097c44c7f9f19d5dcd72d859beefccb
12,ok,3_hmi,GP-PRO_PB III for Device_PLC Connection manual.pdf,Mitsubishi_GP-PRO_WiringGuide_EN.pdf,Mitsubishi,GP-PRO,WiringGuide,EN,372692,24,c32161ad95959aed1d5161c31bcfeca7
13,ok,3_hmi,GT15 본체 취급설명서(KCC용).pdf,Unknown_GT15_MaintenanceManual_KO.pdf,Unknown,GT15,MaintenanceManual,KO,4402379,72,7555aab65c0d554bedca4a02b1451b68
14,ok,3_hmi,AGP3300H-MT01E-BTH.pdf,Unknown_AGP3300H-MT01E-BTH_Troubleshooting_EN.pdf,Unknown,AGP3300H-MT01E-BTH,Troubleshooting,EN,1203985,16,6a1cfd634a1c2c90cc12eedb7fdc8940
15,ok,3_hmi,gpwtag_m.pdf,Unknown_gpwtag_UserManual_EN.pdf,Unknown,gpwtag,UserManual,EN,4457613,846,2a685bee8d7efcbedd38f0b86ce97277
16,ok,3_hmi,GP-PRO_PB III Windows Ver7.pdf,Unknown_GP-PRO_UserManual_EN.pdf,Unknown,GP-PRO,UserManual,EN,6481319,874,75f3d958c9701ae047c4dc164a5a1806
17,ok,3_hmi,HTV HTU_VGA示教器使用说明v01 한국어.pdf,Unknown_HTV_SetupGuide_KO.pdf,Unknown,HTV,SetupGuide,KO,412627,4,6e93fe09c89ae18745d2b14cae1286c8
18,ok,3_hmi,GP-Series Manual.pdf,Unknown_GP-Series_UserManual_KO.pdf,Unknown,GP-Series,UserManual,KO,75885396,836,52c55f4857a8528a14fdcbaadaafe8c9
19,ok,3_hmi,GT14 본체 취급설명서.pdf,Unknown_GT14_MaintenanceManual_KO.pdf,Unknown,GT14,MaintenanceManual,KO,18654451,284,2efcb2dadd2345e0afbe4f69fba2208f
20,ok,3_hmi,GP-PRO_PB III Windows Ver5.pdf,Unknown_GP-PRO_UserManual_EN_v2.pdf,Unknown,GP-PRO,UserManual,EN,22535265,634,11a82d23d83bff0517abc895291aed09
21,ok,3_hmi,KDT CIM0N .pdf,Unknown_KDT_SetupGuide_KO.pdf,Unknown,KDT,SetupGuide,KO,155582,6,184886dec999984f3ff5929ce954e7b0
22,docx,3_hmi,M2I TOP SERIES 통신 드라이버.docx,Unknown_M2I_Manual_EN.docx,Unknown,M2I,Manual,EN,142589,0,8030be8bc266340b8ca29b06a3c18a45
23,ok,3_hmi,KOYO.pdf,Unknown_KOYO_Manual_KO.pdf,Unknown,KOYO,Manual,KO,102436,3,5a01c34a165b7e438bbf0b36d75a4d6c
24,ok,3_hmi,GT12 본체 보충 설명서.pdf,Mitsubishi_GT12_UserManual_KO.pdf,Mitsubishi,GT12,UserManual,KO,613949,3,622819103b5e56cf8fe38140b4fc4fcf
25,ok,3_hmi,LG Inverter .pdf,Unknown_LG_SetupGuide_KO.pdf,Unknown,LG,SetupGuide,KO,75589,3,9b4db30ff9be07331f9f890580ac6002
26,ok,3_hmi,Master-K - GM.pdf,Unknown_Master-K_SetupGuide_KO.pdf,Unknown,Master-K,SetupGuide,KO,933136,18,604f3a93fa47064bd6ec378fc1de8057
27,ok,3_hmi,khtcdvnb.pdf,Rockwell_khtcdvnb_SetupGuide_KO.pdf,Rockwell,khtcdvnb,SetupGuide,KO,254311,7,ba1c061b0f25e93b65fd831a90f7d0c7
28,ok,3_hmi,Modicon.pdf,Unknown_Modicon_SetupGuide_KO.pdf,Unknown,Modicon,SetupGuide,KO,86826,3,ee6b19a2ca9116fa5ef7a634b91148ce
