idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
1,docx,4_servo,111.doc,Unknown_Unknown_Manual_EN.doc,Unknown,Unknown,Manual,EN,179712,0,e8ba485fd9bd56aad5f787da22f8907a
2,ok,4_servo,111.pdf,Unknown_Unknown_ParameterManual_KO.pdf,Unknown,Unknown,ParameterManual,KO,170634,4,021bc2e58e38f452d0045d537f303762
3,ok,4_servo,171023_Product_Intro_Ezi-SERVOII-Plus-E_Ezi-MotionLink-Plus-E_Ezi-IO-Plus-E_KOR.pdf,Unknown_Product_WiringGuide_KO.pdf,Unknown,Product,WiringGuide,KO,1851171,16,3fa4e984ae54781788996a442fef440a
4,ok,4_servo,04) 3장_PLC_프로그래밍_cch.pdf,Unknown_PLC_ParameterManual_EN.pdf,Unknown,PLC,ParameterManual,EN,269966,35,a7dae25733d8d8f31cfaf707e31f9fa0
5,ok,4_servo,160407_Ezi-SERVOII_EC TwinCAT 사용 메뉴얼_김창모.pdf,Unknown_Ezi-SERVOII_Manual_KO.pdf,Unknown,Ezi-SERVOII,Manual,KO,1352633,32,732c746898ce3b2f7869b6273242cb90
6,ocr,4_servo,140106_[Manual]_Ezi-STEP-ST(MNB_MPB)_KOR_L.pdf,Unknown_Ezi-STEP-ST_Manual_EN.pdf,Unknown,Ezi-STEP-ST,Manual,EN,1299835,36,105814125d80d0ca204db8503da35b8f
7,ok,4_servo,01. [KOR] [170103] [Manual] [Ezi-IO Plus-E] 본문편.pdf,Unknown_KOR_WiringGuide_KO.pdf,Unknown,KOR,WiringGuide,KO,1203498,23,53dc9483ff65997827ff535f08d037c7
8,ocr,4_servo,111213_[Manual]_Ezi-STEP-HPB_KOR.pdf,Unknown_Ezi-STEP-HPB_Manual_EN.pdf,Unknown,Ezi-STEP-HPB,Manual,EN,1576741,20,ae3a4a492678d9f5fc142fcbf5932c11
9,ocr,4_servo,150428_[Manual]_Ezi-SERVO-ST_KOR_L.pdf,Unknown_Ezi-SERVO-ST_Manual_EN.pdf,Unknown,Ezi-SERVO-ST,Manual,EN,1453779,40,0e97d8f74698ed20660b17a89040a1cb
10,ok,4_servo,04 200808_Manual_Ezi-SERVOII Plus-E ALL 포지션테이블 기능편_KOR.pdf,Unknown_Ezi-SERVOII_UserManual_KO.pdf,Unknown,Ezi-SERVOII,UserManual,KO,1289743,25,049a4f55e73ec7bc802f46891df398df
11,ocr,4_servo,171213_[Catalog]_Ezi-MotionLink-Plus-E_KOR_L.pdf,Mitsubishi_Ezi-MotionLink-Plus-_Catalog_KO.pdf,Mitsubishi,Ezi-MotionLink-Plus-,Catalog,KO,518896,12,5e99d6116927b1e3bb6c34f5e118fa25
12,ok,4_servo,04. [KOR][161012] [Manual] Ezi-SERVOⅡ  PlusE 포지션테이블.pdf,Unknown_KOR_UserManual_KO.pdf,Unknown,KOR,UserManual,KO,2253163,24,8d01319b55127305ddea5208c6982094
13,ok,4_servo,01_ADA2_Manual_k.pdf,Unknown_ADA2_WiringGuide_KO.pdf,Unknown,ADA2,WiringGuide,KO,5712021,211,83ca906110c5dfcf7d1ac295b522201c
14,ocr,4_servo,EziSERVO_ST_catalog.pdf,Unknown_EziSERVO_Catalog_EN.pdf,Unknown,EziSERVO,Catalog,EN,1539232,28,4eabb6c6149e75a29c7ef73468da7ae9
15,ok,4_servo,01. [KOR] [161012] [Manual] Ezi-SERVOⅡ  Plus-E 본문편.pdf,Unknown_KOR_ParameterManual_KO.pdf,Unknown,KOR,ParameterManual,KO,6297077,76,c2026b70e3fc5a64e0670c0c662b5eb7
16,ok,4_servo,191118_Catalog_Ezi-IO EtherCAT_KOR.pdf,Unknown_Ezi-IO_Catalog_KO.pdf,Unknown,Ezi-IO,Catalog,KO,7156994,28,0203b0dd8d89206bd9d4241aa2f2d31d
17,ok,4_servo,180202_Ezi-SERVOII EtherCAT 4X_KOR.pdf,Unknown_Ezi-SERVOII_ParameterManual_KO.pdf,Unknown,Ezi-SERVOII,ParameterManual,KO,5816996,18,32bb2ada5e635708de7e1f176ccffe23
18,ok,4_servo,200721_Manual_Ezi-SERVOII EtherCAT_KOR.pdf,Unknown_Ezi-SERVOII_UserManual_KO_v2.pdf,Unknown,Ezi-SERVOII,UserManual,KO,4961783,128,d3ff733fd2e95d23aacf6bf5fff0b4d6
19,ok,4_servo,191118_Catalog_Ezi-SPEED_KOR.pdf,Unknown_Ezi-SPEED_Catalog_KO.pdf,Unknown,Ezi-SPEED,Catalog,KO,11162068,40,5edb4ddbe101bcd58622e10ad3624f5b
20,ok,4_servo,190422_Manual_Ezi-SPEED_KOR.pdf,Unknown_Ezi-SPEED_SetupGuide_KO.pdf,Unknown,Ezi-SPEED,SetupGuide,KO,6142476,91,68b93be6b6e12bf4a80116b53a65a8d5
21,ok,4_servo,2015 0105 MINAS-A5 조정 입문서 KOR.pdf,Panasonic_MINAS-A5_SetupGuide_KO.pdf,Panasonic,MINAS-A5,SetupGuide,KO,6146935,60,47dad61d4920750cc9b74168646c9120
22,ocr,4_servo,42CM06.pdf,Unknown_CM06_Manual_EN.pdf,Unknown,CM06,Manual,EN,43408,0,d3742fc21b6ee3770b5401a20b46e4cb
23,ocr,4_servo,42CM08.pdf,Unknown_CM08_Manual_EN.pdf,Unknown,CM08,Manual,EN,43568,0,fd239f86c23a06bd46052fe19ae0a16a
24,ocr,4_servo,191204_Manual_Ezi-IO EtherCAT_KOR.pdf,Unknown_Ezi-IO_Manual_EN.pdf,Unknown,Ezi-IO,Manual,EN,2496448,0,29a3e54ad723a6a5a1ce27b3d950b67e
25,ocr,4_servo,200429_Catalog_Ezi-IO EtherCAT_KOR.pdf,Unknown_Ezi-IO_Catalog_EN.pdf,Unknown,Ezi-IO,Catalog,EN,2532608,0,e6ab3de4422d5ccda47bb808dd4c1be0
26,ocr,4_servo,250710_Catalog_Ezi-IO EtherCAT AD_KOR_Rev.4.pdf,Unknown_Ezi-IO_Catalog_EN_v2.pdf,Unknown,Ezi-IO,Catalog,EN,1732320,0,6c2293e00ad431ca67921aac98034544
27,ok,4_servo,A5IIE_Amp_dxf_list.pdf,Unknown_A5IIE_Manual_EN.pdf,Unknown,A5IIE,Manual,EN,31341,1,734ac7efc55a35e2f03dc168fc1aee76
28,ok,4_servo,A5B_V304_Functions_Updates.pdf,Panasonic_A5B_SetupGuide_JA.pdf,Panasonic,A5B,SetupGuide,JA,223454,4,76186df75204f2ab26235675a5bee16a
29,ok,4_servo,A5IIE_귺깛긵_DXF긲_귽깑뫮뤖_.pdf,Unknown_A5IIE_Manual_JA.pdf,Unknown,A5IIE,Manual,JA,47516,1,270f9e3399dda62f96c831c164e869fe
30,ocr,4_servo,251015_Catalog_Ezi-IO EtherCAT DA_KOR_Rev.4.pdf,Unknown_Ezi-IO_Catalog_EN_v3.pdf,Unknown,Ezi-IO,Catalog,EN,2104128,0,e6bd753ec92e124ca173dbc271d3dc69
31,ok,4_servo,A5B_V301_Functions_Updates.pdf,Panasonic_A5B_SetupGuide_JA_v2.pdf,Panasonic,A5B,SetupGuide,JA,226355,4,3466a702051e95ebe585d095233b9c3a
