idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
1,ok,5_inverter,SJ200_C.pdf,Keyence_SJ200_Manual_EN.pdf,Keyence,SJ200,Manual,EN,219035,2,22117991bd5e5514b33aa5183358e610
2,ok,5_inverter,SJ200_Quick Reference Guide.pdf,Keyence_SJ200_Manual_EN_v2.pdf,Keyence,SJ200,Manual,EN,966881,26,a7716b10e17cafe4cf422295bce12bdb
3,ok,5_inverter,iMASTER U1 간단 매뉴얼_ADT-U1-01-K201902[04].pdf,Keyence_iMASTER_WiringGuide_KO.pdf,Keyence,iMASTER,WiringGuide,KO,1970090,42,a14d12e8d466650e9863004269935088
4,ok,5_inverter,SJ200.pdf,Keyence_SJ200_StandardSpec_EN.pdf,Keyence,SJ200,StandardSpec,EN,1731594,16,bc3d1426053be8d056013fe97993c062
5,ok,5_inverter,SJ200_Inverter Instruction Manual.pdf,Keyence_SJ200_MaintenanceManual_EN.pdf,Keyence,SJ200,MaintenanceManual,EN,6078419,276,956d1d29527b0aaf909e190fedf090c6
6,ocr,5_inverter,neosc_cat_kor.pdf,Unknown_neosc_Manual_EN.pdf,Unknown,neosc,Manual,EN,10596756,48,9c5cded5d57f06f8af3b309103707693
7,ocr,5_inverter,G-TWIN(KOREA_CAT__2010.8).pdf,Unknown_G-TWIN_MaintenanceManual_EN.pdf,Unknown,G-TWIN,MaintenanceManual,EN,12256476,117,5ca0107d7712c21ee941a2a43899cdcc
8,ok,5_inverter,SJ200_SERVICE MANUAL.pdf,Keyence_SJ200_MaintenanceManual_EN_v2.pdf,Keyence,SJ200,MaintenanceManual,EN,6682517,66,334552a8e74f451e12c93783da648efc
9,ocr,5_inverter,MD800 시리즈 표준형 멀티 드라이브 인버터 카탈로그_KR_240109-1.pdf,Unknown_MD800_Catalog_EN.pdf,Unknown,MD800,Catalog,EN,6037824,0,9f513fc40cfb6b07bad7843587ad0341
10,ocr,5_inverter,FR-E800 매뉴얼_보수편 메뉴얼.pdf,Unknown_FR-E800_Manual_EN.pdf,Unknown,FR-E800,Manual,EN,9470640,0,b06c79a3910e37e8cf73a09504ce6de1
11,ocr,5_inverter,FR-D700 기초메뉴얼 한글.pdf,Unknown_FR-D700_Manual_EN.pdf,Unknown,FR-D700,Manual,EN,12695136,0,9563cc594c63c843dba03ee37b78c40a
12,ocr,5_inverter,FR-D700 응용메뉴얼 한글.pdf,Unknown_FR-D700_Manual_EN_v2.pdf,Unknown,FR-D700,Manual,EN,14799968,0,f498b03babe7497366a1f1ce6c15247b
13,ocr,5_inverter,FR-E800 매뉴얼_접속편 메뉴얼.pdf,Unknown_FR-E800_Manual_EN_v2.pdf,Unknown,FR-E800,Manual,EN,16058976,0,76d324378dac0d7f846f8230edcde68a
14,ocr,5_inverter,S100_Manual_Korean_V3.9.pdf,Unknown_S100_Manual_EN.pdf,Unknown,S100,Manual,EN,17897696,0,10167f99cb3dc1c23f215481fbc5574f
15,ocr,5_inverter,MD520 시리즈 고성능 범용 인버터_240319-1_print.pdf,Unknown_MD520_Manual_EN.pdf,Unknown,MD520,Manual,EN,24253408,0,4b5825caecf61671d2d6e06d9e2eb35d
16,ocr,5_inverter,FR-E800 메뉴얼 기능편202209ver_1.pdf,Unknown_FR-E800_Manual_EN_v3.pdf,Unknown,FR-E800,Manual,EN,63140576,0,124bab44fafb8205d20c6703df0e1892
17,ocr,5_inverter,FR-E800_카탈로그_202206ver.pdf,Unknown_FR-E800_Catalog_EN.pdf,Unknown,FR-E800,Catalog,EN,413182464,0,bf0e0962983f5226d8e5b1f1c6532a71
