idx,status,category,old_filename,new_filename,mfr,model,doctype,lang,size,pages,md5
1,ok,6_plc,CODESYS-RTE-SL-Data-Sheet-KOR.pdf,Unknown_CODESYS-RTE-SL-Data-_Datasheet_KO.pdf,Unknown,CODESYS-RTE-SL-Data-,Datasheet,KO,106204,1,c25e081c9e630e65903e6934ddae8fb8
2,ok,6_plc,CODESYS-Installation1.pdf,Unknown_CODESYS-Installation_SetupGuide_KO.pdf,Unknown,CODESYS-Installation,SetupGuide,KO,1078336,7,018e53cbcbce27da49a1c401535c7d9d
3,ok,6_plc,BK7300e.pdf,Unknown_BK7300e_ParameterManual_EN.pdf,Unknown,BK7300e,ParameterManual,EN,492204,36,573174b89db2316ac8e3932f79940bff
4,ok,6_plc,DO0049R01-MGW-UM-ETHERCAT-EN.pdf,Unknown_DO0049R01-MGW-UM-ETH_UserManual_EN.pdf,Unknown,DO0049R01-MGW-UM-ETH,UserManual,EN,885511,30,4706b007567badaa9b2c3ae04c982a7e
5,ok,6_plc,AX2000_en.pdf,Unknown_AX2000_QuickStart_EN.pdf,Unknown,AX2000,QuickStart,EN,2721179,115,eb3a6bed63847323b6296f00a842d133
6,ok,6_plc,CODESYS-ControlSoftMotion-RTE-Setup_ 런타임 설치과정.pdf,Unknown_CODESYS-ControlSoftM_SetupGuide_KO.pdf,Unknown,CODESYS-ControlSoftM,SetupGuide,KO,1195941,14,5bf3d07007abfa3799ea5512a25c80a3
7,ok,6_plc,AJ65SBT-64AD 사용자 매뉴얼.pdf,Mitsubishi_AJ65SBT-64AD_UserManual_KO.pdf,Mitsubishi,AJ65SBT-64AD,UserManual,KO,2919296,73,3947966944207e5b690b098e171e848a
8,ok,6_plc,AJ65SBT-62DA 사용자 매뉴얼.pdf,Mitsubishi_AJ65SBT-62DA_UserManual_KO.pdf,Mitsubishi,AJ65SBT-62DA,UserManual,KO,2897447,71,c23a52be6b99b4f532cd7d281ccd8923
9,ok,6_plc,Documentation_for_the_Beckhoff_BK9000.pdf,Unknown_Documentation_ParameterManual_KO.pdf,Unknown,Documentation,ParameterManual,KO,662393,17,bec34891ecfa2db0b4abdbf9b27d58fd
10,ok,6_plc,DNM_PCINX_Device Sycon 설정매뉴얼.pdf,Unknown_DNM_SetupGuide_KO.pdf,Unknown,DNM,SetupGuide,KO,1763453,36,db95c58ba7e907f59ca948727fa28ce6
11,ok,6_plc,CODESYS-FAQ-moeum.pdf,Unknown_CODESYS-FAQ-moeum_Manual_KO.pdf,Unknown,CODESYS-FAQ-moeum,Manual,KO,1838241,24,3fa9c5d3bbc682745a6459a5c620a499
12,ok,6_plc,eh_vcb02h.pdf,Unknown_eh_Manual_EN.pdf,Unknown,eh,Manual,EN,46693,1,8182fa001ff48840548b217ab5e80c15
13,ok,6_plc,AJ65BT-D62 User's Manual.pdf,Mitsubishi_AJ65BT-D62_UserManual_KO.pdf,Mitsubishi,AJ65BT-D62,UserManual,KO,4218215,145,cb298bccf67e02c19224740f2bc0d726
14,ok,6_plc,CoDeSys_Introduction.pdf,Unknown_CoDeSys_WiringGuide_EN.pdf,Unknown,CoDeSys,WiringGuide,EN,9682788,185,4a383a1677b3efe2e9efbb4c14011a2f
15,ok,6_plc,e3c-s30t(w)_inst-6954850-9b.pdf,Omron_e3c-s30t_Catalog_JA.pdf,Omron,e3c-s30t,Catalog,JA,770442,1,dd8e963833e74bbaf00a3a41343b384f
16,ok,6_plc,ek110x_ek15xxen.pdf,Unknown_ek110x_WiringGuide_EN.pdf,Unknown,ek110x,WiringGuide,EN,6168525,79,d6fb69d5bef4a2d6225ac1549b88bc5c
17,ok,6_plc,ethercat.pdf,Unknown_ethercat_WiringGuide_EN.pdf,Unknown,ethercat,WiringGuide,EN,987354,11,860e76f5c462afa32e8443da119465d2
18,ok,6_plc,el10xx_el11xxen.pdf,Unknown_el10xx_WiringGuide_EN.pdf,Unknown,el10xx,WiringGuide,EN,3643127,108,0b1c917d667e649eea51eca495983ed0
19,ok,6_plc,AJ65BT-R2 User's Manual.pdf,Mitsubishi_AJ65BT-R2_UserManual_KO.pdf,Mitsubishi,AJ65BT-R2,UserManual,KO,10101128,260,7909e7088ca87f5d0a227ff346b27705
20,ok,6_plc,EL20xx_EL2124en.pdf,Unknown_EL20xx_ParameterManual_EN.pdf,Unknown,EL20xx,ParameterManual,EN,5923928,159,3c948a54f086730f06db1bb536f2fbfd
21,ok,6_plc,EH-ETH_NJI361X.pdf,Unknown_EH-ETH_Catalog_EN.pdf,Unknown,EH-ETH,Catalog,EN,2221356,114,1b6b026d6de164e243aefeede3bf6c36
22,ok,6_plc,ethercat_e.pdf,Unknown_ethercat_WiringGuide_EN_v2.pdf,Unknown,ethercat,WiringGuide,EN,276863,6,7f2f0398dfb5701befff391aebd1b72d
23,ocr,6_plc,E3X-DA.pdf,Omron_E3X-DA_Manual_EN.pdf,Omron,E3X-DA,Manual,EN,679645,9,28cac5f07fb1610a5aff8616505860d6
24,ok,6_plc,CC-LINK_시스템 마스터_로컬모듈 상세메뉴얼.pdf,Mitsubishi_CC-LINK_UserManual_KO.pdf,Mitsubishi,CC-LINK,UserManual,KO,7187377,458,725850c5a81c0f0ecf930ea33d99bb03
25,ok,6_plc,Getting Started EHCU.pdf,Unknown_Getting_WiringGuide_KO.pdf,Unknown,Getting,WiringGuide,KO,215055,7,7d273a448ecd5f4cc4014974608858de
26,ok,6_plc,gsd_pb.pdf,Unknown_gsd_Manual_EN.pdf,Unknown,gsd,Manual,EN,16401,2,1b25b9ed94afdffc43b9a6c1da1f309e
27,ok,6_plc,EH-micro1-NJI350BX.pdf,Unknown_EH-micro1-NJI350BX_Catalog_EN.pdf,Unknown,EH-micro1-NJI350BX,Catalog,EN,5669643,319,085a2fc33df0b3971679005316571bc6
28,docx,6_plc,H-Protocol(전송제어절차).doc,Unknown_H-Protocol_Manual_EN.doc,Unknown,H-Protocol,Manual,EN,460800,0,fbeb2e4d68064467513fd1bbe072772c
29,ok,6_plc,getting started hitachi PLC.pdf,Unknown_getting_WiringGuide_KO.pdf,Unknown,getting,WiringGuide,KO,640374,21,422d234e15c0cda91495d4f7e410e04b
30,ocr,6_plc,EtherCAT_Brochure_Korean_Version.pdf,Unknown_EtherCAT_Manual_EN.pdf,Unknown,EtherCAT,Manual,EN,5243275,24,f4122aa2dceacd77ba26142b5b93e6e7
31,ok,6_plc,KUNBUS_Flyer_KUNBUS-GW_EN.pdf,Unknown_KUNBUS_EthernetInterface_EN.pdf,Unknown,KUNBUS,EthernetInterface,EN,221405,2,40039b04c92b16f85953a51b15f72041
