코드: POD-22024-4-PEI-LKCB
품명: POD-22024-4-PEI-LKCB
수량: 51
프로젝트: 한국야금 검사기 F1 #6
장비유형: ['검사기', '교정', '프레스', '핸들러']
qty_per_unit: 3

프로젝트에 cell 포함 품목: 18건

WBF65X35-S24W | S BTM VISION | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:2
CKR20-145-1165L | X-AXIS ROBOT | 한국야금 프레스 Cell #1 | 장비:['프레스', '핸들러'] | qpu:1
AD-8922A | INDICATOR | 한국야금 프레스 Cell #1 | 장비:['교정', '프레스', '핸들러'] | qpu:2
SIO-26P | IO INTERFACE MODULE | 한국야금 프레스 Cell #1 | 장비:['검사기', '프레스', '호닝형상'] | qpu:6
22-19-33-1 | Glass Jig | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:1
22-19-33-0 | Glass Jig | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:1
DAS5L-06 | Deceleration Controller | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:2
07-70-26-0 | Brush | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:None
GDS-65-ASS-EUS-75 | Caster | 한국야금 프레스 Cell #1_추가 | 장비:['프레스'] | qpu:None
E-LBHM6UU | Linear Bush | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:None
C-MLG12-82 | LM Guide | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:2
GDS-65-BSS-EUS-75 | Caster | 한국야금 프레스 Cell #1_추가 | 장비:['프레스'] | qpu:None
AW30-03B-A | Regulator | 한국야금 프레스 Cell #1 | 장비:['교정', '프레스', '핸들러', '호닝형상'] | qpu:1
E-MSMD61N-2M | 광전 Sensor | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:2
HSP0320-2BN37R24LINK | Robot Chain | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:None
CSH-SUS-M3-75 | M3-75L Bolt | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:None
BYGSR660 | Handler | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:2
BYH6065 | Hinge | 한국야금 프레스 Cell #1 | 장비:['프레스'] | qpu:16
